,date,value
476,2016-08-30,124.18
477,2016-08-30,123.940002
478,2016-08-31,123.989998
479,2016-08-31,124.010002
480,2016-09-01,124.0
481,2016-09-01,124.849998
482,2016-09-02,125.5
483,2016-09-02,126.529999
484,2016-09-03,125.5
485,2016-09-03,126.529999
486,2016-09-04,125.5
487,2016-09-04,126.529999
488,2016-09-05,125.5
489,2016-09-05,126.529999
490,2016-09-06,126.82
491,2016-09-06,127.660004
492,2016-09-07,127.660004
493,2016-09-07,128.550003
494,2016-09-08,127.860001
495,2016-09-08,125.419998
496,2016-09-09,124.389999
497,2016-09-09,122.040001
498,2016-09-10,124.389999
499,2016-09-10,122.040001
500,2016-09-11,124.389999
501,2016-09-11,122.040001
502,2016-09-12,121.709999
503,2016-09-12,125.25
504,2016-09-13,124.0
505,2016-09-13,123.089996
506,2016-09-14,122.900002
507,2016-09-14,122.300003
508,2016-09-15,122.230003
509,2016-09-15,125.120003
510,2016-09-16,124.230003
511,2016-09-16,123.949997
512,2016-09-17,124.230003
513,2016-09-17,123.949997
514,2016-09-18,124.230003
515,2016-09-18,123.949997
516,2016-09-19,124.599998
517,2016-09-19,124.68
518,2016-09-20,125.93
519,2016-09-20,125.68
520,2016-09-21,125.870003
521,2016-09-21,128.399994
522,2016-09-22,129.0
523,2016-09-22,129.179993
524,2016-09-23,128.710007
525,2016-09-23,128.089996
526,2016-09-24,128.710007
527,2016-09-24,128.089996
528,2016-09-25,128.710007
529,2016-09-25,128.089996
530,2016-09-26,127.809998
531,2016-09-26,128.0
532,2016-09-27,128.419998
533,2016-09-27,128.899994
534,2016-09-28,128.639999
535,2016-09-28,127.989998
536,2016-09-29,128.089996
537,2016-09-29,129.789993
538,2016-09-30,129.169998
539,2016-09-30,132.770004
540,2016-10-01,129.169998
541,2016-10-01,132.770004
542,2016-10-02,129.169998
543,2016-10-02,132.770004
544,2016-10-03,132.449997
545,2016-10-03,132.110001
546,2016-10-04,132.0
547,2016-10-04,131.570007
548,2016-10-05,131.380005
549,2016-10-05,131.960007
550,2016-10-06,131.820007
551,2016-10-06,132.089996
552,2016-10-07,132.309998
553,2016-10-07,131.059998
554,2016-10-08,132.309998
555,2016-10-08,131.059998
556,2016-10-09,132.309998
557,2016-10-09,131.059998
558,2016-10-10,131.940002
559,2016-10-10,131.020004
560,2016-10-11,130.520004
561,2016-10-11,128.729996
562,2016-10-12,129.029999
563,2016-10-12,129.889999
564,2016-10-13,128.940002
565,2016-10-13,127.910004
566,2016-10-14,128.690002
567,2016-10-14,128.369995
568,2016-10-15,128.690002
569,2016-10-15,128.369995
570,2016-10-16,128.690002
571,2016-10-16,128.369995
572,2016-10-17,128.649994
573,2016-10-17,127.089996
574,2016-10-18,128.550003
575,2016-10-18,128.009995
576,2016-10-19,128.460007
577,2016-10-19,128.759995
578,2016-10-20,127.379997
579,2016-10-20,127.480003
580,2016-10-21,126.339996
581,2016-10-21,126.790001
582,2016-10-22,126.339996
583,2016-10-22,126.790001
584,2016-10-23,126.339996
585,2016-10-23,126.790001
586,2016-10-24,127.330002
587,2016-10-24,127.290001
588,2016-10-25,127.089996
589,2016-10-25,126.449997
590,2016-10-26,126.129997
591,2016-10-26,126.110001
592,2016-10-27,126.650002
593,2016-10-27,125.629997
594,2016-10-28,125.889999
595,2016-10-28,125.650002
596,2016-10-29,125.889999
597,2016-10-29,125.650002
598,2016-10-30,125.889999
599,2016-10-30,125.650002
600,2016-10-31,126.260002
601,2016-10-31,125.900002
602,2016-11-01,126.519997
603,2016-11-01,124.330002
604,2016-11-02,124.489998
